,uid,タイトル字数,タイトル語数,タイトル名詞数,原稿字数,原稿語数,原稿異なり語数,原稿名詞数,原稿異なり名詞数,原稿文数,文平均字数,文平均語数,文平均名詞数
151,sj_161a7a4da60a2328,22,9,6,3937.0,2001.0,714.0,811.0,449.0,165.0,22.866666666666667,12.139393939393939,4.921212121212121
254,sj_1b54fbe11c04a4f4,16,5,4,1029.0,544.0,269.0,238.0,178.0,65.0,14.846153846153847,8.36923076923077,3.6769230769230767
307,sj_ab119bf22d85b812,9,2,2,971.0,451.0,239.0,221.0,151.0,68.0,13.294117647058824,6.647058823529412,3.25
309,sj_1bd70d712181d571,57,26,16,2217.0,1188.0,316.0,345.0,200.0,107.0,19.72897196261682,11.102803738317757,3.2242990654205608
311,sj_e1678d0464b81b81,9,2,2,645.0,282.0,182.0,169.0,140.0,46.0,13.043478260869565,6.130434782608695,3.6739130434782608
314,sj_3973b9a8d8f6497a,11,5,4,1260.0,681.0,297.0,297.0,188.0,58.0,20.74137931034483,11.741379310344827,5.137931034482759
315,sj_003f8a772c31098b,16,5,4,923.0,470.0,260.0,236.0,181.0,60.0,14.4,7.833333333333333,3.95
317,sj_8be65b5c4cefe53e,33,14,11,5383.0,2934.0,876.0,1154.0,575.0,122.0,43.131147540983605,24.057377049180328,9.467213114754099
318,sj_5a62d909665d2129,11,5,4,3555.0,1902.0,636.0,812.0,439.0,129.0,26.565891472868216,14.666666666666666,6.248062015503876
322,sj_b826b82ded1a8870,9,4,3,1336.0,618.0,291.0,350.0,223.0,89.0,14.02247191011236,6.943820224719101,3.943820224719101
323,sj_670d22159f559b51,9,4,3,2972.0,1362.0,566.0,725.0,452.0,162.0,17.35185185185185,8.401234567901234,4.487654320987654
328,sj_084eab5e22ee5b99,42,16,11,1507.0,692.0,339.0,339.0,247.0,80.0,17.85,8.65,4.2375
333,sj_555bec6effdf887f,9,4,3,2601.0,1252.0,504.0,640.0,377.0,151.0,16.2317880794702,8.28476821192053,4.245033112582782
345,sj_66f0dfb7837a7818,9,2,2,919.0,416.0,214.0,210.0,147.0,52.0,16.692307692307693,8.0,4.038461538461538
371,sj_6e2540fa99e9add2,16,6,3,3887.0,1957.0,667.0,860.0,477.0,138.0,27.17391304347826,14.181159420289855,6.239130434782608
374,sj_fef0430d236a35c4,33,17,11,4520.0,2384.0,783.0,992.0,526.0,111.0,39.729729729729726,21.47747747747748,8.936936936936936
382,sj_3bd19971a18b8b5c,9,4,3,1385.0,661.0,292.0,334.0,201.0,81.0,16.11111111111111,8.160493827160494,4.148148148148148
387,sj_4797daf3c60e9532,17,8,5,1733.0,866.0,346.0,441.0,228.0,87.0,18.93103448275862,9.942528735632184,5.057471264367816
405,sj_bcad05baaf76cfaa,14,3,3,747.0,334.0,195.0,208.0,148.0,24.0,30.166666666666668,13.916666666666666,8.708333333333334
415,sj_aab93bf01e0e0f92,7,1,1,1627.0,835.0,372.0,373.0,251.0,68.0,22.941176470588236,12.279411764705882,5.485294117647059
421,sj_67c2b20a6efc16d2,10,3,3,1018.0,489.0,228.0,237.0,166.0,44.0,22.15909090909091,11.090909090909092,5.340909090909091
422,sj_634d963fd0137cf4,56,20,14,1056.0,467.0,232.0,278.0,183.0,68.0,14.544117647058824,6.852941176470588,4.0588235294117645
423,sj_655d9741d12522a7,7,5,3,754.0,352.0,193.0,226.0,143.0,57.0,12.24561403508772,6.175438596491228,3.9649122807017543
424,sj_76661c29ffd57d83,39,17,10,1928.0,882.0,371.0,402.0,258.0,97.0,18.88659793814433,9.092783505154639,4.144329896907217
425,sj_e9b82ab0c84adfa8,7,1,1,1761.0,895.0,386.0,398.0,257.0,74.0,22.81081081081081,12.094594594594595,5.378378378378378
426,sj_fb8a3cca7d15af19,6,2,2,2120.0,1112.0,444.0,473.0,294.0,92.0,22.054347826086957,12.08695652173913,5.141304347826087
427,sj_e3d5aa9f52b6277c,10,4,3,1281.0,645.0,292.0,339.0,207.0,70.0,17.314285714285713,9.228571428571428,4.8428571428571425
